user_provide,user_receive,attention_type
005Markus,F1FeederSeries1,2
005Markus,joshrevellyt,1
0dd8all,F1,1
0dd8all,F1_Jordan,2
100yontori,redbullracing,2
101Supersonic,redbullracing,2
102947Jose,redbullracing,2
1221_maker,F1,2
1221_maker,redbullracing,1
123Rafazx,F1,2
14Floflo,F1,1
14Floflo,F1_Jordan,2
15jonahh,F1,2
15jonahh,Max33Verstappen,1
17_ved,formularacers_,2
1893Diblaze,reetah__,2
1979greggs,F1,2
1979greggs,Max33Verstappen,1
1Brkycs,F1,2
1Brkycs,Max33Verstappen,1
1amMiguelMata,F1,2
1amMiguelMata,Max33Verstappen,1
1patryk_,F1,2
1patryk_,redbullracing,1
1rosing,redbullracing,2
1specky,F1,2
1specky,Max33Verstappen,1
1zzyxxiii,F1,4
1zzyxxiii,redbullracing,2
21_thorne,BradleyPhilpot,2
21_thorne,Independent,2
21_thorne,JackDunc1,2
21_thorne,tariqpanja,2
2202000_,formularacers_,2
23denise,MrNickKnowles,2
27Gabriel2005,redbullracing,2
289Marius,redbullracing,2
2B19385375,AnamorphiaHD,4
2B19385375,F1,6
2B19385375,brawngpf1team,5
2B19385375,redbullracing,6
2B19385375,s_m_customs_,2
2B19385375,stanreport,2
2B19385375,swazzle2000,2
2grls1formula,2grls1formula,1
2grls1formula,LqFiona,2
2lipsonyx44,JackDunc1,2
2ndname_1stname,F1,1
2ndname_1stname,F1_Jordan,2
3Stacks_SD,F1,1
3Stacks_SD,F1_Jordan,2
3rdBrockFromSun,TopGearFormula1,2
44Supremacy,MrNickKnowles,2
4CylindersOnly,F1,1
4CylindersOnly,F1_Jordan,2
4c2MzbSHJF4SCDN,Carlos55YB,1
4c2MzbSHJF4SCDN,F1,3
4c2MzbSHJF4SCDN,Hymur4,2
4c2MzbSHJF4SCDN,KevinDadey,1
4c2MzbSHJF4SCDN,Krogsgaard97,1
4c2MzbSHJF4SCDN,Max33Verstappen,2
4c2MzbSHJF4SCDN,mercedesamg77,1
4ndres_ar02,F1,2
4ndres_ar02,Max33Verstappen,1
5times18,DashThony,1
5times18,F1,1
5times18,F1_Jordan,1
5times18,kenny_laemna,2
63bagnaia,63bagnaia,1
66dragt,bettsop,2
747Anj,DExpress_Sport,1
747Anj,ic005qx00,2
7R32nokoupa,1990sF1,2
7R32nokoupa,F1,2
7R32nokoupa,redbullracing,1
8ball76,F1,1
8ball76,F1_Jordan,2
901Joshyy,lominoodIes11,2
ABCDZ130,F1,1
ABCDZ130,F1_Jordan,2
ABolton_90,GaryLineker,2
ADEYEMOADEKUNL2,LEGO_Group,1
ADEYEMOADEKUNL2,segundoatdell,2
AFCL27,MrNickKnowles,2
AFC_Finn14,F1,1
AFC_Finn14,F1_Jordan,2
AFC_Plum,F1,1
AFC_Plum,F1_Jordan,2
AGinestri18,redbullracing,2
AK47_6,F1,1
AK47_6,F1_Jordan,2
AMGDenz,GaryLineker,2
AMcLeod2002,EliGP,2
AMinhaCasinha,F1,1
AMinhaCasinha,F1_Jordan,2
ASSEINGEAR,F1,2
ASSEINGEAR,redbullracing,1
AZISAI_VTuber,Oracle,2
AZISAI_VTuber,redbullracing,1
A_Hobos_Stick,TopGearFormula1,2
A_lva26,redbullracing,2
AagamShah_44,premystic,2
Aaron08951168,F1,2
Aaron08951168,LandoNorris,1
Aaron08951168,McLarenF1,1
AaronMolloy6,checciardo,2
AbMimiiii,GaryLineker,2
AbMimiiii,Independent,2
AbMimiiii,JackDunc1,2
AbMimiiii,JimmyBroadbent,2
AbMimiiii,MrNickKnowles,2
AbMimiiii,adilray,2
AbbieAJones,F1,1
AbbieAJones,LateBrakers,2
AbbieAJones,MercedesAMGF1,1
Abby_ibarra_,F1,2
Abby_ibarra_,redbullracing,1
AbhyudayChatur2,F1,2
AboObadah15,Oracle,2
AboObadah15,redbullracing,1
Aboodsultan71,Carlossainz55,1
Aboodsultan71,realmadriden,2
Aboodsultan71,thibautcourtois,1
Abou1290,F1,2
Abou1290,Max33Verstappen,1
AdamTravisG,txchristabelle,2
AdityaDevavrat,ChrisPaulDesig1,1
AdityaDevavrat,FormulaSpaces,1
AdityaDevavrat,vincenzolandino,1
AdriRS19,redbullracing,4
AdrianJSClark,TopGearFormula1,2
AdrianSaldana,Oracle,1
AdrianoT_27,MrNickKnowles,2
AdrienBottacci,LEGO_Group,1
AdrienBottacci,McLarenF1,2
Adriynwa,redbullracing,2
Ads__________,F1,1
Ads__________,F1_Jordan,1
Ads__________,FormulaRacer420,2
Ads__________,HillF1,1
Ads__________,Race_Dominator,1
Ads__________,swiftsambi,1
AdventureRehab,F1,2
AdventureRehab,Max33Verstappen,1
AemiliaRSmith,laptimedeIeted,2
Aggie_Asf,redbullracing,2
Agustin_Caval,redbullracing,2
Aidanbanerjee__,laptimedeIeted,2
Aim_ZN6,redbullracing,2
AitchabaneAziz,SFarkhad,2
AitchabaneAziz,VelasBlockchain,1
Ajessop,TomLeachHL,2
Alainsku,ryanpber,2
Alan45075546,JaredMymind,2
AlbertoJF4,redbullracing,2
Alberto_9965,startonpole,2
Aldeni_Crts,redbullracing,2
AldoDivingMex,F1,8
AldoDivingMex,redbullracing,6
Aldrean21,F1,2
Aldrean21,redbullracing,1
Alejand01975104,F1,2
Alejand01975104,redbullracing,1
AlejandroIller6,F1,4
AlejandroIller6,LandoNorris,1
AlejandroIller6,McLarenF1,1
AlejandroIller6,redbullracing,1
AlejoRuy,F1,2
AlejoRuy,redbullracing,1
Alejoumana,Carlossainz55,2
Alejoumana,Formula1game,1
Alejoumana,thibautcourtois,1
AlessandroGayo1,F1,2
AlessandroGayo1,redbullracing,1
AlexBarra9,F1,2
AlexBarra9,redbullracing,3
AlexCartas3,redbullracing,2
AlexDanko14,redbullracing,2
AlexStillMe,F1,2
AlexStillMe,F1_Jordan,3
AlexStillMe,HillF1,2
Alex_Ishola,F1,1
Alex_Ishola,F1_Jordan,2
AlexanderVu17,redbullracing,2
AlexisPSG14,F1,1
AlexisPSG14,F1_Jordan,2
Alfie05_,F1,2
Alfie05_,redbullracing,1
AlfieLFC2,TwommoF1,2
AliciaDearcega1,F1,2
AliciaDearcega1,Max33Verstappen,1
Aliseo_mx,F1,2
Aliseo_mx,redbullracing,5
AlisonSechini,Independent,2
Aliyaliwoowah,F1_Jordan,2
AllSportsView,F1,1
AllSportsView,F1_Jordan,2
AllanDosan,AWNetworks,2
Allthat08405576,AmandaDemir,2
Allthat08405576,F1,1
Allthat08405576,F1_Jordan,2
Allthat08405576,RobLMyers,4
Allthat08405576,cauterize1750,2
Allthat08405576,lewisupremacist,2
Allthat08405576,lowdonodwol,2
Allthat08405576,mollyellenF1,2
Allthat08405576,prudydear,2
Alvaroo_17_,startonpole,2
AmadouB4728757,MrNickKnowles,2
AmeerSamsodien,Masroor_Parkar,2
AnamorphiaHD,2B19385375,4
AnamorphiaHD,F1,2
AnamorphiaHD,brawngpf1team,2
AnamorphiaHD,redbullracing,2
AndreaEttori,F1,2
AndreaEttori,Max33Verstappen,1
AndreeaPna,redbullracing,2
Andrespg97,startonpole,2
Andresromerou12,F1,2
Andresromerou12,redbullracing,1
Andrew80359499,Independent,2
Andrew80359499,JamesMcGavinF1,2
Andrew80359499,MrNickKnowles,2
Andrew80359499,eagertogo,2
Andrew80359499,ff_fffffff_ff,2
Andrew80359499,fia,1
Andrew80359499,mazzaaaaF1,2
Andrew80359499,swiftsambi,2
Andrew80359499,tariqpanja,2
AndrewRidesBike,formularacers_,2
AndrewTabner,EISSEM,2
AndrewTabner,ICMdoc,1
AndrewTabner,RCSnews,1
AndrewTabner,ldwijesinghe,1
AndyBellSDS,1990sBTCC,2
AndyBellSDS,F1,1
AndyBellSDS,JensonButton,1
AnfieldMist,F1,1
AnfieldMist,F1_Jordan,2
AngelBerroteran,redbullracing,4
AngelG11181920,F1,2
AngelG11181920,Max33Verstappen,1
AngelaArchibal1,F1,1
AngelaArchibal1,F1_Jordan,1
AngelaArchibal1,HillF1,2
Anita__F1,F1,2
Anita__F1,Max33Verstappen,1
Ankalagon_04,F1,2
Ankalagon_04,redbullracing,1
AnnaOliv11,SilverArrowsNet,2
Annelisebrady1,BlakesDomain,2
Annemariedarby,redbullracing,2
AnnieJMarie2,redbullracing,2
AnonFIR,ftblolsticks,2
AnotherKofi,F1,1
AnotherKofi,F1_Jordan,2
Anthony_njie94,F1,1
Anthony_njie94,F1_Jordan,2
AntoMercier13,F1,2
AntoMercier13,redbullracing,1
AntonioGal3,F1,2
AntonioGal3,redbullracing,1
AritzCinefilo98,F1,2
AritzCinefilo98,Max33Verstappen,1
Arli_nl,GasMonkeyGarage,1
Arli_nl,RRRawlings,2
Arthurprt_,redbullracing,2
ArtsAlfons1,F1,2
ArtsAlfons1,redbullracing,1
ArturoAguileraH,F1,2
ArturoAguileraH,Max33Verstappen,1
ArwenDR90,F1,2
ArwenDR90,redbullracing,1
ArzOox_,_Awayfrom_2_3_4,2
AsborisSala,TopGearFormula1,2
AshAshGoose,F1,1
AshAshGoose,LeBluetifulGame,2
AshAshGoose,Max33Verstappen,1
AshWoody90,YouTube,2
AshWoody90,wearetherace,2
Ashdailybs,F1,2
Ashdailybs,redbullracing,1
Asian_Drama_Fan,loeyxzhan01127,2
AssumRob,F1,5
AssumRob,John_Salisbury,5
AssumRob,Joseph_Cote,10
AssumRob,fia,5
AssumRob,pelle1969,5
AssumRob,richardaucock,5
AstonScuderia,StillWeSendIt,2
AutoTradition,F1,3
AutoTradition,HillF1,2
AutoTradition,Motor_Sport,3
AutoTradition,SportmphMark,2
AutoTradition,fia,2
AutoTradition,tony_jardine,5
AutriyaManeshni,2grls1formula,1
AutriyaManeshni,LqFiona,2
AverageData19,Max33Verstappen,1
AverageData19,redbullracing,1
Avislafin1,F1,2
Avislafin1,Max33Verstappen,1
AvrilJonesPhoto,F1,1
AvrilJonesPhoto,F1_Jordan,1
AvrilJonesPhoto,cattv96,1
AvrilJonesPhoto,karranoconnor,1
AvrilJonesPhoto,wbyron_luck,2
Aya_Shaker,mollyellenF1,2
AyandaHlanjwa,RedBullZA,4
AyedaIftikhar,ChrisMedlandF1,2
Azadgill9,F1,2
Azadgill9,Max33Verstappen,1
B0WEEEE,rickyreapers,2
B17TAS,F1,1
B17TAS,F1Feed_net,2
B17TAS,Independent,2
B17TAS,RobLMyers,2
B17TAS,SLH44GOAT96,2
B17TAS,SirLewisUpdates,2
B17TAS,jgsbennett,2
BAB7BLUE,redbullracing,2
BALESCR3AM,CConceptCreator,3
BALESCR3AM,F1,2
BALESCR3AM,KiarashBazargan,3
BALESCR3AM,Max33Verstappen,2
BALESCR3AM,ant_iuculano,2
BEcclstone,F1,1
BEcclstone,Max33Verstappen,1
BEcclstone,hugoaaferreira,2
BMutambiranwa,Wamagaisa,2
BSLA_7,FormulaReaction,2
BSLA_7,JimmyBroadbent,2
BTG021,maksverstappen,2
B_C5504,formularacers_,2
BabaKok_,baltaoglou,2
Bader_AL7,F1,2
Bader_AL7,Max33Verstappen,1
BanaanBoris,F1,1
BanaanBoris,Max33Verstappen,1
BanaanBoris,TeamLHTobey,2
Baptistegcd,Secteur_F1,2
BarometerRising,alanisnking,2
Bart_Achterhoek,redbullracing,2
BatistaDavide,formularacers_,2
BatmanIsOrphan,F1_Jordan,2
BatmanIsOrphan,Independent,2
BatmanIsOrphan,JimmyBroadbent,2
Bazm511,F1,1
Bazm511,F1_Jordan,1
Bazm511,J_Wheels23,2
Beeaisbusy,TopGearFormula1,2
BelenCardus,redbullracing,2
BelovedGoat,MrNickKnowles,2
Bembezi,abline11,2
BenSchofield_,F1,1
BenSchofield_,F1_Jordan,2
BenSchofield_,ryanpber,2
BenSoloTio,startonpole,2
BenSteer_91,F1,1
BenSteer_91,F1_Jordan,2
BenjaminHoff17,TopGearFormula1,2
Bennime_1G,F1,2
Bennime_1G,redbullracing,1
BennyBoogeyman,wtf1official,2
Bernardin0_16,F1,1
Bernardin0_16,F1_Jordan,2
Bernardosouzaf,F1,2
Bernardosouzaf,Max33Verstappen,1
Bert_Cornelis,F1,2
Bert_Cornelis,redbullracing,1
BethhF1,F1,2
BethhF1,Max33Verstappen,1
BethhF1,QuickStopF1,2
BethhF1,fia,1
Bettina9898,ftblolsticks,2
BeyondAReasona2,F1,1
BeyondAReasona2,F1_Jordan,1
BeyondAReasona2,HillF1,2
Bhavin_D29,F1,1
Bhavin_D29,fia,1
BhpScale,PrixRetro,2
Biddibops,DExpress_Sport,2
Big_Baby56,F1,1
Big_Baby56,F1_Jordan,2
BiggestChimp,Max33Verstappen,2
BillWallis18,JaredMymind,2
BillWallis18,Mr_JJackson,2
BillWallis18,lewisupremacist,2
BillyJo56936922,ChrisMedlandF1,2
BillyJo56936922,F1,2
BillyJo56936922,F1Visionary,2
BillyJo56936922,JimmyBroadbent,2
BillyJo56936922,TwommoF1,2
